Display Name,Account Code,Account Name,Name,Security Description,Position,Underlying Equivalent Position,A:Market Value Local,Price,Expiration Date,Issuer,Is Closed
MOTHE=G6 IS,ARBITRAG,209- ARBITRAGE FUND,SAMVARDHANA M. Feb26,MOTHE=G6,-714,-4391100,-487631668.4,111.0500031,02/24/2026,Samvardhana Motherson Internat,0
MPHL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,MPHASIS LTD Feb26,MPHL=G6,-101,-27775,-76592342.71,2757.600098,02/24/2026,Mphasis Ltd,0
MRCO=G6 IS,ARBITRAG,209- ARBITRAGE FUND,MARICO LTD Feb26,MRCO=G6,-955,-1146000,-829188076.2,723.5498047,02/24/2026,Marico Ltd,0
MSIL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Maruti Suzuki Feb26,MSIL=G6,-450,-22500,-319860000,14216,02/24/2026,Maruti Suzuki India Ltd,0
MSIL=H6 IS,ARBITRAG,209- ARBITRAGE FUND,Maruti Suzuki Mar26,MSIL=H6,-1,-50,-715650,14313,03/30/2026,Maruti Suzuki India Ltd,0
MUTH=G6 IS,ARBITRAG,209- ARBITRAGE FUND,MUTHOOT FINANCE Feb26,MUTH=G6,-160,-44000,-155579595.7,3535.899902,02/24/2026,Muthoot Finance Ltd,0
NACL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,NATIONAL ALUMIN Feb26,NACL=G6,-34,-127500,-46658618.77,365.9499512,02/24/2026,National Aluminium Co Ltd,0
NBCC=G6 IS,ARBITRAG,209- ARBITRAGE FUND,NBCC INDIA LTD Feb26,NBCC=G6,-375,-2437500,-232391241.1,95.33999634,02/24/2026,NBCC India Ltd,0
NEST=G6 IS,ARBITRAG,209- ARBITRAGE FUND,NESTLE INDIA LTD Feb26,NEST=G6,-314,-157000,-201823500,1285.5,02/24/2026,Nestle India Ltd,0
NHPC=G6 IS,ARBITRAG,209- ARBITRAGE FUND,NHPC Limited Feb26,NHPC=G6,-9,-57600,-4348800,75.5,02/24/2026,NHPC Ltd,0
NMDC=G6 IS,ARBITRAG,209- ARBITRAGE FUND,NMDC Limited Feb26,NMDC=G6,-1397,-9429750,-757680326.2,80.34999084,02/24/2026,NMDC Ltd,0
NTPC=G6 IS,ARBITRAG,209- ARBITRAGE FUND,NTPC Limited Feb26,NTPC=G6,-113,-169500,-57969000,342,02/24/2026,NTPC Ltd,0
NUVAM=G6 IS,ARBITRAG,209- ARBITRAGE FUND,NUVAMA WEALTH MA Feb26,NUVAM=G6,0,0,0,1256.800049,02/24/2026,Nuvama Wealth Management Ltd,0
